Flight No,Date,"Version, booster",Launch site (wiki),Payload,Payload mass,Orbit (wiki),Customer,Launch outcome,Booster landing,date_only
299,"Second mission of NASA's Commercial Lunar Payload Services program, and first private American company to successfully land a spacecraft on the Moon. The lander carried five payloads of up to 100 kg (220 lb) total (LRA, NDL, LN-1, SCALPSS, and ROLSES), a deployable camera namely, EagleCam and transmit data from the lunar surface in a mission lasting 2 weeks.[51][52][53] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[54]","Second mission of NASA's Commercial Lunar Payload Services program, and first private American company to successfully land a spacecraft on the Moon. The lander carried five payloads of up to 100 kg (220 lb) total (LRA, NDL, LN-1, SCALPSS, and ROLSES), a deployable camera namely, EagleCam and transmit data from the lunar surface in a mission lasting 2 weeks.[51][52][53] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[54]","Second mission of NASA's Commercial Lunar Payload Services program, and first private American company to successfully land a spacecraft on the Moon. The lander carried five payloads of up to 100 kg (220 lb) total (LRA, NDL, LN-1, SCALPSS, and ROLSES), a deployable camera namely, EagleCam and transmit data from the lunar surface in a mission lasting 2 weeks.[51][52][53] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[54]","Second mission of NASA's Commercial Lunar Payload Services program, and first private American company to successfully land a spacecraft on the Moon. The lander carried five payloads of up to 100 kg (220 lb) total (LRA, NDL, LN-1, SCALPSS, and ROLSES), a deployable camera namely, EagleCam and transmit data from the lunar surface in a mission lasting 2 weeks.[51][52][53] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[54]",,"Second mission of NASA's Commercial Lunar Payload Services program, and first private American company to successfully land a spacecraft on the Moon. The lander carried five payloads of up to 100 kg (220 lb) total (LRA, NDL, LN-1, SCALPSS, and ROLSES), a deployable camera namely, EagleCam and transmit data from the lunar surface in a mission lasting 2 weeks.[51][52][53] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[54]","Second mission of NASA's Commercial Lunar Payload Services program, and first private American company to successfully land a spacecraft on the Moon. The lander carried five payloads of up to 100 kg (220 lb) total (LRA, NDL, LN-1, SCALPSS, and ROLSES), a deployable camera namely, EagleCam and transmit data from the lunar surface in a mission lasting 2 weeks.[51][52][53] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[54]","Second mission of NASA's Commercial Lunar Payload Services program, and first private American company to successfully land a spacecraft on the Moon. The lander carried five payloads of up to 100 kg (220 lb) total (LRA, NDL, LN-1, SCALPSS, and ROLSES), a deployable camera namely, EagleCam and transmit data from the lunar surface in a mission lasting 2 weeks.[51][52][53] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[54]","Second mission of NASA's Commercial Lunar Payload Services program, and first private American company to successfully land a spacecraft on the Moon. The lander carried five payloads of up to 100 kg (220 lb) total (LRA, NDL, LN-1, SCALPSS, and ROLSES), a deployable camera namely, EagleCam and transmit data from the lunar surface in a mission lasting 2 weeks.[51][52][53] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[54]",NaT
300,"February 15, 2024 21:34[55]",F9 B5 B1082‑2,"Vandenberg, SLC‑4E",Starlink: Group 7-14 (22 satellites),16700.0,LEO,SpaceX,Success,Success (OCISLY),NaT
300,"Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the 300th Falcon 9 launch, the 200th consecutive successful landing of a booster, and the first time SpaceX launched three rockets within 24 hours. SpaceX removed the stiffener ring around the nozzle of Merlin Vacuum Engine on Starlink missions starting with this launch.[56]","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the 300th Falcon 9 launch, the 200th consecutive successful landing of a booster, and the first time SpaceX launched three rockets within 24 hours. SpaceX removed the stiffener ring around the nozzle of Merlin Vacuum Engine on Starlink missions starting with this launch.[56]","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the 300th Falcon 9 launch, the 200th consecutive successful landing of a booster, and the first time SpaceX launched three rockets within 24 hours. SpaceX removed the stiffener ring around the nozzle of Merlin Vacuum Engine on Starlink missions starting with this launch.[56]","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the 300th Falcon 9 launch, the 200th consecutive successful landing of a booster, and the first time SpaceX launched three rockets within 24 hours. SpaceX removed the stiffener ring around the nozzle of Merlin Vacuum Engine on Starlink missions starting with this launch.[56]",22.0,"Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the 300th Falcon 9 launch, the 200th consecutive successful landing of a booster, and the first time SpaceX launched three rockets within 24 hours. SpaceX removed the stiffener ring around the nozzle of Merlin Vacuum Engine on Starlink missions starting with this launch.[56]","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the 300th Falcon 9 launch, the 200th consecutive successful landing of a booster, and the first time SpaceX launched three rockets within 24 hours. SpaceX removed the stiffener ring around the nozzle of Merlin Vacuum Engine on Starlink missions starting with this launch.[56]","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the 300th Falcon 9 launch, the 200th consecutive successful landing of a booster, and the first time SpaceX launched three rockets within 24 hours. SpaceX removed the stiffener ring around the nozzle of Merlin Vacuum Engine on Starlink missions starting with this launch.[56]","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the 300th Falcon 9 launch, the 200th consecutive successful landing of a booster, and the first time SpaceX launched three rockets within 24 hours. SpaceX removed the stiffener ring around the nozzle of Merlin Vacuum Engine on Starlink missions starting with this launch.[56]",NaT
301,"February 20, 2024 20:11[57]",F9 B5 B1067‑17,"Cape Canaveral, SLC‑40",Telkomsat HTS 113BT,4000.0,GTO,Telkom Indonesia,Success,Success (JRTI),NaT
301,Indonesian satellite to provide more capacity over Indonesia.[58] 300th successful Falcon 9 mission.,Indonesian satellite to provide more capacity over Indonesia.[58] 300th successful Falcon 9 mission.,Indonesian satellite to provide more capacity over Indonesia.[58] 300th successful Falcon 9 mission.,Indonesian satellite to provide more capacity over Indonesia.[58] 300th successful Falcon 9 mission.,,Indonesian satellite to provide more capacity over Indonesia.[58] 300th successful Falcon 9 mission.,Indonesian satellite to provide more capacity over Indonesia.[58] 300th successful Falcon 9 mission.,Indonesian satellite to provide more capacity over Indonesia.[58] 300th successful Falcon 9 mission.,Indonesian satellite to provide more capacity over Indonesia.[58] 300th successful Falcon 9 mission.,NaT
302,"February 23, 2024 04:11[59]",F9 B5 B1061‑19,"Vandenberg, SLC‑4E",Starlink: Group 7-15 (22 satellites),16700.0,LEO,SpaceX,Success,Success (OCISLY),NaT
302,"Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the second time a booster was flown for the 19th time and featured a Merlin engine that was being used on its 22nd mission beating its own record, having already surpassed Space Shuttle Main Engine no. 2019's record of 19 flights.[60]","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the second time a booster was flown for the 19th time and featured a Merlin engine that was being used on its 22nd mission beating its own record, having already surpassed Space Shuttle Main Engine no. 2019's record of 19 flights.[60]","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the second time a booster was flown for the 19th time and featured a Merlin engine that was being used on its 22nd mission beating its own record, having already surpassed Space Shuttle Main Engine no. 2019's record of 19 flights.[60]","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the second time a booster was flown for the 19th time and featured a Merlin engine that was being used on its 22nd mission beating its own record, having already surpassed Space Shuttle Main Engine no. 2019's record of 19 flights.[60]",22.0,"Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the second time a booster was flown for the 19th time and featured a Merlin engine that was being used on its 22nd mission beating its own record, having already surpassed Space Shuttle Main Engine no. 2019's record of 19 flights.[60]","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the second time a booster was flown for the 19th time and featured a Merlin engine that was being used on its 22nd mission beating its own record, having already surpassed Space Shuttle Main Engine no. 2019's record of 19 flights.[60]","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the second time a booster was flown for the 19th time and featured a Merlin engine that was being used on its 22nd mission beating its own record, having already surpassed Space Shuttle Main Engine no. 2019's record of 19 flights.[60]","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the second time a booster was flown for the 19th time and featured a Merlin engine that was being used on its 22nd mission beating its own record, having already surpassed Space Shuttle Main Engine no. 2019's record of 19 flights.[60]",NaT
303,"February 25, 2024 22:06[61]",F9 B5 B1069‑13,"Cape Canaveral, SLC‑40",Starlink: Group 6-39 (24 satellites),17500.0,LEO,SpaceX,Success,Success (ASOG),NaT
303,"Launch of 24 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. New mass record on Falcon 9 taking 17,500 kg (38,600 lb) to low Earth orbit.[62]","Launch of 24 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. New mass record on Falcon 9 taking 17,500 kg (38,600 lb) to low Earth orbit.[62]","Launch of 24 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. New mass record on Falcon 9 taking 17,500 kg (38,600 lb) to low Earth orbit.[62]","Launch of 24 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. New mass record on Falcon 9 taking 17,500 kg (38,600 lb) to low Earth orbit.[62]",24.0,"Launch of 24 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. New mass record on Falcon 9 taking 17,500 kg (38,600 lb) to low Earth orbit.[62]","Launch of 24 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. New mass record on Falcon 9 taking 17,500 kg (38,600 lb) to low Earth orbit.[62]","Launch of 24 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. New mass record on Falcon 9 taking 17,500 kg (38,600 lb) to low Earth orbit.[62]","Launch of 24 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. New mass record on Falcon 9 taking 17,500 kg (38,600 lb) to low Earth orbit.[62]",NaT
304,"February 29, 2024 15:30[63]",F9 B5 B1076‑11,"Cape Canaveral, SLC‑40",Starlink: Group 6-40 (23 satellites),17100.0,LEO,SpaceX,Success,Success (JRTI),NaT
304,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,23.0,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,NaT
